"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19326","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,0,2012,7,26,26.85,13.45,6.95,23,"E",0
"19327","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,0.5,2012,7,26,26.8,13.4,7.2,23,"E",0
"19328","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,1,2012,7,26,26.6,13.2,7.1,23,"E",0
"19329","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,2,2012,7,26,24.8,11.1,6,23,"M",0
"19330","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,3,2012,7,26,19.2,5.7,5.9,27,"M",0
"19331","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,4,2012,7,26,12,0.1,6.3,40,"M",0
"19332","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,5,2012,7,26,8.7,0,6.2,61,"M",0
"19333","NLA12_MN-R13-2012-1","NLA12_MN-R13",1,5.5,2012,7,26,7.7,0,6.1,76,"M",0
