"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18889","NLA12_MI-126-2012-1","NLA12_MI-126",1,0.5,2012,8,16,21.9,10,8.45,213.5,"E",0
"18890","NLA12_MI-126-2012-1","NLA12_MI-126",1,1,2012,8,16,21.8,9.9,8.5,213,"E",0
"18891","NLA12_MI-126-2012-1","NLA12_MI-126",1,2,2012,8,16,20.8,8.3,8.3,218,"E",0
"18892","NLA12_MI-126-2012-1","NLA12_MI-126",1,3,2012,8,16,20.5,7.8,8.2,218,"E",0
"18893","NLA12_MI-126-2012-1","NLA12_MI-126",1,4,2012,8,16,20.2,7.4,8.1,219,"E",0
"18894","NLA12_MI-126-2012-1","NLA12_MI-126",1,5,2012,8,16,19.7,6.2,7.8,221,"E",0
"18895","NLA12_MI-126-2012-1","NLA12_MI-126",1,6,2012,8,16,17.3,1,7.2,260,"M",0
"18896","NLA12_MI-126-2012-1","NLA12_MI-126",1,7,2012,8,16,13.6,0.4,7.1,292,"M",0
"18897","NLA12_MI-126-2012-1","NLA12_MI-126",1,8,2012,8,16,12.4,0.5,7,332,"M",0
