"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"6820","NLA06608-0804-2012-1","NLA06608-0804",1,0,2012,6,1,25.8,7.85,8,162,"E",1
"6821","NLA06608-0804-2012-1","NLA06608-0804",1,1,2012,6,1,25.8,7.6,8,161,"E",1
"6822","NLA06608-0804-2012-1","NLA06608-0804",1,2,2012,6,1,25.2,7.3,7.9,163,"E",1
"6823","NLA06608-0804-2012-1","NLA06608-0804",1,3,2012,6,1,23.1,6.8,7.7,164,"E",1
"6824","NLA06608-0804-2012-1","NLA06608-0804",1,4,2012,6,1,18.8,5.4,7.5,167,"E",1
"6825","NLA06608-0804-2012-1","NLA06608-0804",1,5,2012,6,1,15,3.3,7.1,216,"E",1
