"COM_ID"	"SITE_ID"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"WGT"	"DEPTHMAX_M"	"SLD"
"89"	"21383092"	"NLA06608-0061"	2	22	8	2007	34.24558153	-113.5793644	"AZ"	"Region_9"	"XER"	"15"	"15030204"	"MAN-MADE"	5.723287327	23.93314962	335	1.201463105	14.9	2.822098378
"90"	"14679012"	"NLA06608-0062"	1	9	8	2007	47.32067994	-99.74629427	"ND"	"Region_8"	"NPL"	"10"	"10130103"	"NATURAL"	0.542985616	2.944960258	562.29	19.94722145	2.7	1.127406005
"91"	"14679012"	"NLA06608-0062"	2	27	8	2007	47.32067994	-99.74629427	"ND"	"Region_8"	"NPL"	"10"	"10130103"	"NATURAL"	0.542985616	2.944960258	562.29	19.94722145	2.8	1.127406005
"92"	"12337192"	"NLA06608-0064"	1	18	6	2007	48.8940613	-112.1680165	"MT"	"Region_8"	"NPL"	"10"	"10050002"	"NATURAL"	0.252077914	2.061268745	1208	5.441933591	2.5	1.158143269
"93"	"12337192"	"NLA06608-0064"	2	26	8	2007	48.8940613	-112.1680165	"MT"	"Region_8"	"NPL"	"10"	"10050002"	"NATURAL"	0.252077914	2.061268745	1208	5.441933591	1.7	1.158143269
"94"	"12337192"	"NLA06608-0064"	1	11	7	2012	48.89407384	-112.1682796	"MT"	"Region_8"	"NPL"	"10"	"10050002"	"NATURAL"	0.2520793107	2.061274641	1208	15.03551325	NA	NA
"95"	"22886879"	"NLA06608-0065"	1	17	7	2007	48.96243381	-115.116608	"MT"	"Region_8"	"WMT"	"17"	"17010101"	"NATURAL"	0.895225888	7.365625253	766.43	7.59453197	17.1	2.196030517
"96"	"22886879"	"NLA06608-0065"	2	12	9	2007	48.96243381	-115.116608	"MT"	"Region_8"	"WMT"	"17"	"17010101"	"NATURAL"	0.895225888	7.365625253	766.43	7.59453197	15.3	2.196030517
"97"	"22886879"	"NLA06608-0065"	1	11	9	2012	48.96435342	-115.1157742	"MT"	"Region_8"	"WMT"	"17"	"17010101"	"NATURAL"	0.8952244797	7.365627576	766.43	20.98292535	NA	NA
"98"	"3806779"	"NLA06608-0066"	1	12	6	2007	39.76851425	-79.38081778	"PA"	"Region_3"	"SAP"	"5"	"5020006"	"MAN-MADE"	10.94588775	59.92548558	439.26	8.935850053	20.5	5.109532133
"99"	"3806779"	"NLA06608-0066"	2	18	9	2007	39.76851425	-79.38081778	"PA"	"Region_3"	"SAP"	"5"	"5020006"	"MAN-MADE"	10.94588775	59.92548558	439.26	8.935850053	17.5	5.109532133
"100"	"18377442"	"NLA06608-0068"	1	9	7	2007	37.82447614	-107.8853911	"CO"	"Region_8"	"WMT"	"14"	"14030003"	"MAN-MADE"	0.500989694	3.228855235	2959.6	9.171940265	18.6	1.286853909
"101"	"18377442"	"NLA06608-0068"	2	12	9	2007	37.82447614	-107.8853911	"CO"	"Region_8"	"WMT"	"14"	"14030003"	"MAN-MADE"	0.500989694	3.228855235	2959.6	9.171940265	17.7	1.286853909
"102"	"18377442"	"NLA06608-0068"	1	29	8	2012	37.8246388	-107.885134	"CO"	"Region_8"	"WMT"	"14"	"14030003"	"MAN_MADE"	0.5009886464	3.228831558	2959.6	33.9172379	NA	NA
"103"	"10994747"	"NLA06608-0069"	1	18	7	2007	28.63735951	-81.13759704	"FL"	"Region_4"	"CPL"	"3"	"3080101"	"NATURAL"	0.244704468	2.398919112	11.26	2.082890779	3.4	1.368011421
"104"	"10994747"	"NLA06608-0069"	2	26	9	2007	28.63735951	-81.13759704	"FL"	"Region_4"	"CPL"	"3"	"3080101"	"NATURAL"	0.244704468	2.398919112	11.26	2.082890779	3.6	1.368011421
"105"	"10994747"	"NLA06608-0069"	1	20	5	2012	28.63737421	-81.13770674	"FL"	"Region_4"	"CPL"	"3"	"3080101"	"NATURAL"	0.2447050394	2.39891519	11.26	4.695737719	NA	NA
"106"	"19367808"	"NLA06608-0071"	1	6	9	2007	31.66683993	-91.50916933	"LA"	"Region_6"	"CPL"	"8"	"8060100"	"NATURAL"	4.602095294	30.10842622	15.17	1.855043389	5.3	3.959180663
"107"	"19367808"	"NLA06608-0071"	2	8	9	2007	31.66683993	-91.50916933	"LA"	"Region_6"	"CPL"	"8"	"8060100"	"NATURAL"	4.602095294	30.10842622	15.17	1.855043389	5.2	3.959180663
"108"	"19367808"	"NLA06608-0071"	1	12	6	2012	31.66739711	-91.50773471	"LA"	"Region_6"	"CPL"	"8"	"8040306"	"NATURAL"	4.602092131	30.1084479	15.17	5.970162918	NA	NA
"109"	"19367808"	"NLA06608-0071"	2	26	6	2012	31.66739711	-91.50773471	"LA"	"Region_6"	"CPL"	"8"	"8040306"	"NATURAL"	4.602092131	30.1084479	15.17	5.970162918	NA	NA
"110"	"2567126"	"NLA06608-0072"	1	26	7	2007	32.23766222	-98.40515204	"TX"	"Region_6"	"SPL"	"12"	"12070201"	"MAN-MADE"	0.091270764	1.325295227	429.56	210.5049403	5.7	1.237490457
"111"	"2567126"	"NLA06608-0072"	2	15	8	2007	32.23766222	-98.40515204	"TX"	"Region_6"	"SPL"	"12"	"12070201"	"MAN-MADE"	0.091270764	1.325295227	429.56	210.5049403	5.6	1.237490457
"112"	"13068752"	"NLA06608-0073"	1	12	6	2007	39.52477029	-118.878391	"NV"	"Region_9"	"XER"	"16"	"16050203"	"MAN-MADE"	1.522446927	4.905570351	1216.87	1.036696107	28	1.121536715
"113"	"13068752"	"NLA06608-0073"	2	18	7	2007	39.52477029	-118.878391	"NV"	"Region_9"	"XER"	"16"	"16050203"	"MAN-MADE"	1.522446927	4.905570351	1216.87	1.036696107	27	1.121536715
"114"	"5108638"	"NLA06608-0076"	1	27	7	2007	39.41441295	-94.49793062	"MO"	"Region_7"	"TPL"	"10"	"10240012"	"MAN-MADE"	30.08068118	176.162583	264.36	5.825117208	9.2	9.06076578
"115"	"5108638"	"NLA06608-0076"	2	4	9	2007	39.41441295	-94.49793062	"MO"	"Region_7"	"TPL"	"10"	"10240012"	"MAN-MADE"	30.08068118	176.162583	264.36	5.825117208	11.8	9.06076578
"116"	"5108638"	"NLA06608-0076"	1	17	7	2012	39.41430868	-94.49779458	"MO"	"Region_7"	"TPL"	"10"	"10240012"	"MAN_MADE"	30.08069261	176.1627203	264.36	31.53063187	NA	NA
"117"	"6248768"	"NLA06608-0077"	1	8	9	2007	40.92704692	-74.53388264	"NJ"	"Region_2"	"NAP"	"2"	"2030103"	"MAN-MADE"	0.653283422	5.103487234	238.18	47.79674006	2.4	1.78119424
