,lakeID,Perimeter,NoPoints,MaxLength,Spacing
290,NLA06608-1047,968732.2293,3000,37923.56876,322.9107431
389,NLA06608-0433,941222.5902,3000,59543.75662,313.7408634
70,NLA06608-3169,306427.4994,3000,57746.52667,102.1424998
281,NLA06608-0376,285105.9388,3000,7564.05768,95.03531293
300,NLA06608-0792,280803.1439,3000,15934.48818,93.60104796
158,NLA06608-1348,253317.296,3000,6777.450465,84.43909866
89,NLA06608-0591,247609.133,3000,5930.173263,82.53637768
201,NLA06608-2492,234035.7502,3000,25347.83226,78.01191672
298,NLA06608-0024,233707.4506,3000,20820.9385,77.90248354
384,NLA06608-1278,226210.2025,3000,16367.82038,75.40340082
394,NLA06608-0332,224032.5693,3000,14429.30578,74.67752312
1030,NLA12_CA-119,199423.6528,3000,11638.26539,66.47455092
197,NLA06608-1504,186521.1132,3000,5345.933553,62.1737044
301,NLA06608-1560,186175.2499,3000,19219.25328,62.05841663
61,NLA06608-0514,185767.0851,3000,4353.906337,61.92236171
267,NLA06608-2152,182811.9429,3000,6765.968437,60.9373143
193,NLA06608-1204,174468.138,3000,4786.35142,58.156046
1044,NLA12_TX-124,173601.8739,3000,11409.74113,57.8672913
268,NLA06608-0076,171289.0831,3000,10910.76602,57.09636102
279,NLA06608-0560,168855.8246,3000,22919.564,56.28527488
344,NLA06608-1529,155991.3557,3000,10937.84067,51.99711857
295,NLA06608-1608,150607.2407,3000,13310.26962,50.20241357
82,NLA06608-1113,148308.5863,3000,3844.712045,49.43619545
74,NLA06608-1733,136440.9266,3000,12872.58622,45.48030888
358,NLA06608-1717,131866.9449,3000,8384.166505,43.95564829
77,NLA06608-2074,130266.7609,3000,10152.96964,43.42225362
1007,NLA12_CA-180,126167.3159,3000,12048.99351,42.05577197
688,NLA12_LA-134,107510.1267,3000,19790.59414,35.83670889
182,NLA06608-0846,107486.2126,3000,4703.879692,35.82873752
393,NLA06608-2187,101907.8848,3000,6179.337662,33.96929493
166,NLA06608-0359,99966.89074,3000,16759.06004,33.32229691
202,NLA06608-0432,99584.12045,3000,10964.26747,33.19470682
353,NLA06608-0529,98786.82359,3000,7239.790121,32.9289412
147,NLA06608-0943,97636.58884,3000,5229.006122,32.54552961
270,NLA06608-2332,93719.93141,3000,15035.57689,31.23997714
787,NLA12_NM-129,93070.87408,3000,6137.008,31.02362469
120,NLA06608-1045,89777.64947,3000,18274.56674,29.92588316
136,NLA06608-0212,88595.93931,3000,7794.960397,29.53197977
703,NLA12_ND-194,86023.69366,3000,10685.8668,28.67456455
392,NLA06608-0229,75929.88463,3000,12265.31986,25.30996154
252,NLA06608-2740,74592.94923,3000,7523.390781,24.86431641
1041,NLA12_WY-147,73808.1793,3000,10197.76415,24.60272643
142,NLA06608-0271,72466.63437,3000,6041.667078,24.15554479
842,NLA12_TX-165,69061.10845,3000,10633.63146,23.02036948
362,NLA06608-0277,63632.02459,3000,12610.1023,21.21067486
810,NLA12_OK-134,62262.50134,3000,5181.727282,20.75416711
146,NLA06608-0751,61563.61252,3000,3589.220991,20.52120417
578,NLA12_WV-106,58686.62482,3000,6407.623405,19.56220827
72,NLA06608-2117,57308.58309,3000,14228.71217,19.10286103
303,NLA06608-1372,57032.74463,3000,10433.05703,19.01091488
283,NLA06608-4056,55441.8544,3000,9849.336953,18.48061813
294,NLA06608-4686,54660.3477,3000,5955.128388,18.2201159
21,NLA06608-0401,51825.69343,3000,14502.1638,17.27523114
50,NLA06608-R324,51617.71257,3000,2718.297514,17.20590419
734,NLA12_ND-131,51392.15311,3000,4475.550397,17.1307177
319,NLA06608-2463,50979.09755,3000,4202.414387,16.99303252
131,NLA06608-0681,50286.75608,3000,2812.468943,16.76225203
226,NLA06608-0240,50247.43313,3000,7395.582176,16.74914438
98,NLA06608-0938,47989.52407,3000,7485.594422,15.99650802
22,NLA06608-0150,45445.12896,3000,7532.074756,15.14837632
271,NLA06608-2640,44365.68752,3000,4314.950804,14.78856251
156,NLA06608-0191,43814.93819,3000,4429.317034,14.6049794
1019,NLA12_WA-151,43538.76594,3000,9790.810201,14.51292198
364,NLA06608-1190,43271.92989,3000,7953.992647,14.42397663
26,NLA06608-0930,42067.88426,3000,7635.814297,14.02262809
994,NLA12_CA-121,41100.39184,3000,4851.567172,13.70013061
836,NLA12_TX-121,41010.30918,3000,6879.837429,13.67010306
487,NLA12_FL-126,40976.36024,3000,9770.911597,13.65878675
321,NLA06608-0794,38104.83071,3000,10274.03454,12.70161024
141,NLA06608-0783,36915.01039,3000,3807.08516,12.30500346
