"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"4398","NLA06608-0440-2007-1","NLA06608-0440",1,0.1,2007,8,8,28.13,5.07,7.76,201.3,"E",0
"4399","NLA06608-0440-2007-1","NLA06608-0440",1,1,2007,8,8,28.13,5.05,7.76,201.3,"E",0
"4400","NLA06608-0440-2007-1","NLA06608-0440",1,2,2007,8,8,28.1,5.02,7.75,201.3,"E",0
"4401","NLA06608-0440-2007-1","NLA06608-0440",1,3,2007,8,8,28.08,4.97,7.72,201.2,"E",0
"4402","NLA06608-0440-2007-1","NLA06608-0440",1,4,2007,8,8,28.03,4.91,7.71,201,"E",0
"4403","NLA06608-0440-2007-1","NLA06608-0440",1,5,2007,8,8,28.01,4.9,7.71,201.4,"E",0
"4404","NLA06608-0440-2007-1","NLA06608-0440",1,6,2007,8,8,27.99,5.02,7.77,201.5,"M",0
"4405","NLA06608-0440-2007-1","NLA06608-0440",1,7,2007,8,8,25.82,1,7.09,190.4,"M",0
"4406","NLA06608-0440-2007-1","NLA06608-0440",1,8,2007,8,8,23.82,0.11,6.98,186.7,"M",0
"4407","NLA06608-0440-2007-1","NLA06608-0440",1,9,2007,8,8,23.48,0.1,6.95,188,"H",0
