"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"10182","NLA06608-1284-2007-1","NLA06608-1284",1,0,2007,8,24,23.4,6.8,8,192,"E",0
"10183","NLA06608-1284-2007-1","NLA06608-1284",1,1,2007,8,24,23.4,6.7,8.1,192,"E",0
"10184","NLA06608-1284-2007-1","NLA06608-1284",1,2,2007,8,24,23.4,6.7,8.1,193,"E",0
"10185","NLA06608-1284-2007-1","NLA06608-1284",1,3,2007,8,24,23.3,6.7,8.1,193,"E",0
"10186","NLA06608-1284-2007-1","NLA06608-1284",1,4,2007,8,24,23.3,6.6,8.2,193,"E",0
"10187","NLA06608-1284-2007-1","NLA06608-1284",1,5,2007,8,24,23.3,6.5,8.2,193,"E",0
"10188","NLA06608-1284-2007-1","NLA06608-1284",1,6,2007,8,24,23.2,6.5,8.2,193,"E",0
"10189","NLA06608-1284-2007-1","NLA06608-1284",1,7,2007,8,24,23.2,6.5,8.2,193,"E",0
"10190","NLA06608-1284-2007-1","NLA06608-1284",1,8,2007,8,24,23.2,6.4,8.2,194,"E",0
"10191","NLA06608-1284-2007-1","NLA06608-1284",1,9,2007,8,24,22.6,4.8,8,196,"M",0
"10192","NLA06608-1284-2007-1","NLA06608-1284",1,10,2007,8,24,20.4,3.6,7.8,190,"M",0
"10193","NLA06608-1284-2007-1","NLA06608-1284",1,11,2007,8,24,19.2,2.5,7.7,195,"M",0
"10194","NLA06608-1284-2007-1","NLA06608-1284",1,12,2007,8,24,18.3,2.8,7.6,195,"M",0
"10195","NLA06608-1284-2007-1","NLA06608-1284",1,13,2007,8,24,17.6,3.1,7.5,194,"M",0
"10196","NLA06608-1284-2007-1","NLA06608-1284",1,14,2007,8,24,16.6,3.8,7.5,195,"M",0
"10197","NLA06608-1284-2007-1","NLA06608-1284",1,15,2007,8,24,15.8,4.1,7.5,194,"M",0
"10198","NLA06608-1284-2007-1","NLA06608-1284",1,16,2007,8,24,15.1,4.7,7.5,194,"H",0
"10199","NLA06608-1284-2007-1","NLA06608-1284",1,17,2007,8,24,14.6,5.1,7.5,197,"H",0
"10200","NLA06608-1284-2007-1","NLA06608-1284",1,18,2007,8,24,14,5.8,7.5,198,"H",0
"10201","NLA06608-1284-2007-1","NLA06608-1284",1,19,2007,8,24,13.6,6.2,7.5,199,"H",0
"10202","NLA06608-1284-2007-1","NLA06608-1284",1,20,2007,8,24,13.2,6.6,7.5,199,"H",0
"10203","NLA06608-1284-2007-1","NLA06608-1284",1,21,2007,8,24,12.9,6.8,7.5,199,"H",0
"10204","NLA06608-1284-2007-1","NLA06608-1284",1,23,2007,8,24,12.5,7,7.5,200,"H",0
"10205","NLA06608-1284-2007-1","NLA06608-1284",1,25,2007,8,24,11.9,7.3,7.6,200,"H",0
"10206","NLA06608-1284-2007-1","NLA06608-1284",1,27,2007,8,24,11,7.7,7.6,199,"H",0
"10207","NLA06608-1284-2007-1","NLA06608-1284",1,29,2007,8,24,10.2,8,7.6,200,"H",0
"10208","NLA06608-1284-2007-1","NLA06608-1284",1,31,2007,8,24,9.4,8.4,7.6,201,"H",0
"10209","NLA06608-1284-2007-1","NLA06608-1284",1,33,2007,8,24,8.7,8.5,7.6,204,"H",0
"10210","NLA06608-1284-2007-1","NLA06608-1284",1,35,2007,8,24,8.2,8.4,7.6,204,"H",0
"10211","NLA06608-1284-2007-1","NLA06608-1284",1,37,2007,8,24,7.8,8.6,7.6,204,"H",0
"10212","NLA06608-1284-2007-1","NLA06608-1284",1,39,2007,8,24,7.4,8.9,7.6,203,"H",0
"10213","NLA06608-1284-2007-1","NLA06608-1284",1,41,2007,8,24,7.2,9,7.7,202,"H",0
"10214","NLA06608-1284-2007-1","NLA06608-1284",1,43,2007,8,24,7,9.1,7.7,202,"H",0
"10215","NLA06608-1284-2007-1","NLA06608-1284",1,45,2007,8,24,6.8,9.1,7.7,202,"H",0
"10216","NLA06608-1284-2007-1","NLA06608-1284",1,48.5,2007,8,24,6.5,9,7.7,202,"H",0
