"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"67"	"NLA12_AL-104"	"1"	12	2012	7	23	29.5	5.7	7.6	246	"E"
"68"	"NLA12_AL-104"	"1"	13	2012	7	23	29.4	5.7	7.6	246	"E"
"69"	"NLA12_AL-104"	"1"	14	2012	7	23	29.4	5.7	7.6	238	"E"
"70"	"NLA12_AL-104"	"1"	15	2012	7	23	29.6	5.6	7.6	253	"E"
"71"	"NLA12_AL-104"	"1"	16	2012	7	23	29.7	5.7	7.6	257	"E"
"72"	"NLA12_AL-104"	"1"	17	2012	7	23	29.7	5.7	7.6	244	"E"
"73"	"NLA12_AL-104"	"1"	18	2012	7	23	29.4	5.6	7.6	244	"E"
"74"	"NLA12_AL-104"	"1"	19	2012	7	23	29.4	5.5	7.6	239	"E"
"75"	"NLA12_AL-104"	"1"	19.3	2012	7	23	29	5.5	7.6	231	"E"
"76"	"NLA12_AL-105"	"1"	0.25	2012	5	23	31.3	9.65	9.15	42	"E"
"77"	"NLA12_AL-105"	"1"	1	2012	5	23	27.4	9.9	8.6	36	"M"
"78"	"NLA12_AL-105"	"1"	2	2012	5	23	25.3	2.6	7.2	37	"M"
"79"	"NLA12_AL-105"	"1"	3	2012	5	23	21.9	1.3	6.7	5.6	"M"
"80"	"NLA12_AL-105"	"1"	4	2012	5	23	19.6	1.2	6.5	65	"M"
"81"	"NLA12_AL-105"	"1"	4.1	2012	5	23	19.1	1.2	6.5	6.8	"M"
"82"	"NLA12_AL-105"	"2"	0	2012	7	24	32.25	9.55	9.5	35	"E"
"83"	"NLA12_AL-105"	"2"	1	2012	7	24	31.1	9.8	9.6	37	"E"
"84"	"NLA12_AL-105"	"2"	2	2012	7	24	29.1	8.2	8.8	30	"M"
"85"	"NLA12_AL-105"	"2"	3	2012	7	24	26.2	1.6	6.4	64	"M"
"86"	"NLA12_AL-105"	"2"	4	2012	7	24	22.2	1.3	6.4	128	"M"
"87"	"NLA12_AL-105"	"2"	4.5	2012	7	24	19.3	1.3	6.3	173	"M"
"88"	"NLA12_AL-112"	"1"	0	2012	7	22	30.1	8.4	8.4	55	"E"
"89"	"NLA12_AL-112"	"1"	1	2012	7	22	30	8.1	8.2	55	"E"
"90"	"NLA12_AL-112"	"1"	2	2012	7	22	29.5	6.8	7.4	55	"M"
"91"	"NLA12_AL-112"	"1"	3	2012	7	22	28	2.1	6.6	76	"M"
"92"	"NLA12_AL-112"	"1"	3.3	2012	7	22	26.5	1.1	6.7	116	"M"
"93"	"NLA12_AL-113"	"1"	0	2012	8	8	29.55	7.95	6.1	23	"E"
"94"	"NLA12_AL-113"	"1"	0.5	2012	8	8	26.5	7.6	5.9	23	"M"
"95"	"NLA12_AL-113"	"1"	1	2012	8	8	26.3	7.5	5.9	23	"M"
"96"	"NLA12_AL-113"	"1"	1.5	2012	8	8	25.5	7.3	5.8	24	"M"
"97"	"NLA12_AL-113"	"1"	2	2012	8	8	25	6.8	5.7	24	"M"
"98"	"NLA12_AL-114"	"1"	0	2012	7	26	32.5	10.3	8.8	172	"E"
"99"	"NLA12_AL-114"	"1"	1	2012	7	26	31.9	9.2	8.7	173	"E"
"100"	"NLA12_AL-114"	"1"	2	2012	7	26	31.1	5.4	7.9	179	"E"
"101"	"NLA12_AL-114"	"1"	3	2012	7	26	30.1	1.2	7.3	183	"E"
"102"	"NLA12_AL-R03"	"1"	0	2012	7	18	29	7.3	11.75	40	"E"
"103"	"NLA12_AL-R03"	"1"	1	2012	7	18	28.4	7.4	11.8	40	"E"
"104"	"NLA12_AL-R03"	"1"	2	2012	7	18	28.1	7.4	11.8	40	"M"
"105"	"NLA12_AL-R03"	"1"	3	2012	7	18	26.6	6	11.4	41	"M"
"106"	"NLA12_AL-R03"	"1"	4	2012	7	18	20.5	2	11.6	39	"M"
"107"	"NLA12_AL-R03"	"1"	5	2012	7	18	14.2	1	11.8	44	"M"
"108"	"NLA12_AL-R03"	"1"	6	2012	7	18	12.1	0.7	11.7	50	"M"
"109"	"NLA12_AL-R03"	"1"	7	2012	7	18	11	0.7	12.8	56	"M"
"110"	"NLA12_AL-R03"	"1"	7.8	2012	7	18	10.6	0.6	12.3	53	"H"
"111"	"NLA12_AL-R05"	"1"	0	2012	7	21	29.7	7.55	7.2	20.5	"E"
"112"	"NLA12_AL-R05"	"1"	1	2012	7	21	29.7	7.5	7.3	20	"E"
"113"	"NLA12_AL-R05"	"1"	2	2012	7	21	29.7	7.5	7.2	20	"E"
"114"	"NLA12_AL-R05"	"1"	3	2012	7	21	29.7	7.4	7.2	20	"M"
"115"	"NLA12_AL-R05"	"1"	4	2012	7	21	28.3	5.5	6.3	21	"M"
"116"	"NLA12_AL-R05"	"1"	5	2012	7	21	23.5	1.5	6	25	"M"
"117"	"NLA12_AL-R05"	"1"	6	2012	7	21	17.9	0.9	6.6	69	"M"
"118"	"NLA12_AL-R05"	"1"	7	2012	7	21	16.3	0.7	6.7	85	"M"
"119"	"NLA12_AR-101"	"1"	0	2012	7	23	NA	6.81	NA	NA	"E"
"120"	"NLA12_AR-101"	"2"	0	2012	8	17	28.4	5.05	6.8	46	"E"
"121"	"NLA12_AR-102"	"1"	0	2012	8	21	26.35	6.8	7.9	120	"E"
"122"	"NLA12_AR-103"	"1"	0	2012	8	24	27.9	8.45	8	52	"E"
"123"	"NLA12_AR-104"	"1"	0	2012	8	9	29.5	5.75	6.75	34	"E"
"124"	"NLA12_AR-105"	"1"	0	2012	7	24	32.2	6.475	6.72	71	"E"
"125"	"NLA12_AR-105"	"2"	0	2012	8	16	29.9	5.45	6.5	75	"E"
"126"	"NLA12_AR-106"	"1"	0	2012	8	20	27.85	10.2	8.8	247.5	"E"
"127"	"NLA12_AR-109"	"1"	0	2012	8	8	32.15	6.8	8.03	258.5	"E"
"128"	"NLA12_AR-111"	"1"	0	2012	8	22	25.55	4.65	6.5	54.5	"E"
"129"	"NLA12_AZ-101"	"1"	0	2012	5	8	21.515	9.64	8.6	1077.5	"E"
"130"	"NLA12_AZ-101"	"1"	1	2012	5	8	21.53	9.08	8.6	1077	"E"
"131"	"NLA12_AZ-101"	"1"	2	2012	5	8	21.53	9.97	8.6	1078	"E"
"132"	"NLA12_AZ-101"	"1"	3	2012	5	8	21.52	9.95	8.6	1079	"M"
"133"	"NLA12_AZ-101"	"1"	4	2012	5	8	20.07	9.28	8.29	1091	"M"
"134"	"NLA12_AZ-101"	"1"	5	2012	5	8	19.19	7.76	8.09	1093	"M"
"135"	"NLA12_AZ-101"	"1"	6	2012	5	8	18.86	7.34	8.02	1093	"M"
"136"	"NLA12_AZ-101"	"1"	7	2012	5	8	18.57	7.02	7.95	1093	"H"
