"SITE_ID"	"VISIT_NO"	"DEPTH"	"YEAR"	"MONTH"	"DAY"	"TEMP_FIELD"	"DO_FIELD"	"PH_FIELD"	"COND_FIELD"	"LAYER"
"68"	"NLA06608-0006"	"2"	20	2007	8	30	5.78	4.08	6.38	78	"H"
"69"	"NLA06608-0006"	"2"	21	2007	8	30	5.73	2.91	6.35	79	"H"
"70"	"NLA06608-0006"	"2"	22	2007	8	30	5.7	1.74	6.35	81	"H"
"71"	"NLA06608-0006"	"2"	23	2007	8	30	5.69	1.01	6.36	82	"H"
"72"	"NLA06608-0006"	"2"	23.5	2007	8	30	5.67	0.62	6.48	87	"H"
"73"	"NLA06608-0010"	"1"	0	2007	7	17	23.8	10	8.4	626	"E"
"74"	"NLA06608-0010"	"1"	1	2007	7	17	23.8	9.9	8.4	626	"E"
"75"	"NLA06608-0010"	"1"	2	2007	7	17	23.8	9.9	8.4	626	"E"
"76"	"NLA06608-0010"	"1"	3	2007	7	17	23.8	9.8	8.4	626	"E"
"77"	"NLA06608-0010"	"1"	4	2007	7	17	23.6	9.4	8.3	626	"E"
"78"	"NLA06608-0010"	"1"	5	2007	7	17	23.2	8.5	8.2	631	"E"
"79"	"NLA06608-0010"	"1"	6	2007	7	17	21.8	8.6	8.1	658	"M"
"80"	"NLA06608-0010"	"1"	7	2007	7	17	16.3	4	7.5	714	"M"
"81"	"NLA06608-0010"	"1"	8	2007	7	17	14.5	1.3	7.4	718	"M"
"82"	"NLA06608-0010"	"1"	9	2007	7	17	10.9	0.4	7.2	715	"M"
"83"	"NLA06608-0010"	"1"	10	2007	7	17	9.5	0.3	7.1	713	"H"
"84"	"NLA06608-0010"	"1"	11	2007	7	17	8.8	0.2	7.1	723	"H"
"85"	"NLA06608-0010"	"1"	11.8	2007	7	17	8.6	0.2	7	728	"H"
"86"	"NLA06608-0010"	"2"	0	2007	8	18	24.7	8.8	8.5	610	"E"
"87"	"NLA06608-0010"	"2"	1	2007	8	18	24.7	8.9	8.5	613	"E"
"88"	"NLA06608-0010"	"2"	2	2007	8	18	24.6	9.1	8.5	613	"E"
"89"	"NLA06608-0010"	"2"	3	2007	8	18	24.1	8.8	8.4	614	"E"
"90"	"NLA06608-0010"	"2"	4	2007	8	18	23.8	8.6	8.3	614	"E"
"91"	"NLA06608-0010"	"2"	5	2007	8	18	23.2	7.5	8.2	631	"E"
"92"	"NLA06608-0010"	"2"	6	2007	8	18	20.8	1.3	7.9	694	"M"
"93"	"NLA06608-0010"	"2"	7	2007	8	18	16.8	0.4	7.7	717	"M"
"94"	"NLA06608-0010"	"2"	8	2007	8	18	12.3	0.4	7.7	733	"M"
"95"	"NLA06608-0010"	"2"	9	2007	8	18	9.9	0.4	7.7	746	"M"
