"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"18180","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,0,2012,6,12,25.95,9.7,7.2,68,"E",0
"18181","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,0.5,2012,6,12,25.9,9.6,7.2,68,"E",0
"18182","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,1,2012,6,12,25.9,9.5,7.3,68,"E",0
"18183","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,2,2012,6,12,25.5,9.2,7.2,68.1,"E",0
"18184","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,3,2012,6,12,23.8,7.7,6.6,69.7,"M",0
"18185","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,4,2012,6,12,19.8,4.8,6.4,73.5,"M",0
"18186","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,5,2012,6,12,15,1.9,6.5,94,"M",0
"18187","NLA12_IL-R04-2012-1","NLA12_IL-R04",1,6,2012,6,12,12.5,0.28,6.9,145,"M",0
