"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"19500","NLA12_MT-135-2012-1","NLA12_MT-135",1,0,2012,8,28,17.75,17.65,9.25,562,"E",0
"19501","NLA12_MT-135-2012-1","NLA12_MT-135",1,1,2012,8,28,17.6,11.7,8.9,577,"E",0
"19502","NLA12_MT-135-2012-1","NLA12_MT-135",1,2,2012,8,28,16.6,7.8,8.7,580,"E",0
"19503","NLA12_MT-135-2012-1","NLA12_MT-135",1,3,2012,8,28,16.5,5,8.6,586,"E",0
"19504","NLA12_MT-135-2012-1","NLA12_MT-135",1,4,2012,8,28,16.3,3.4,8.4,601,"E",0
"19505","NLA12_MT-135-2012-1","NLA12_MT-135",1,5,2012,8,28,16.2,2.9,8.4,600,"E",0
"19506","NLA12_MT-135-2012-1","NLA12_MT-135",1,6,2012,8,28,15.7,1.2,8.2,607,"E",0
"19507","NLA12_MT-135-2012-1","NLA12_MT-135",1,7,2012,8,28,15.6,0.9,7.8,617,"E",0
