"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"5413","NLA06608-0570-2007-1","NLA06608-0570",1,0,2007,7,27,23.6,7.8,8.4,340.2,"E",0
"5414","NLA06608-0570-2007-1","NLA06608-0570",1,1,2007,7,27,23.5,7.8,8.5,339.4,"E",0
"5415","NLA06608-0570-2007-1","NLA06608-0570",1,2,2007,7,27,23.5,7.8,8.4,339.4,"E",0
"5416","NLA06608-0570-2007-1","NLA06608-0570",1,3,2007,7,27,23.5,7.7,8.4,339.4,"E",0
"5417","NLA06608-0570-2007-1","NLA06608-0570",1,4,2007,7,27,23.5,7.6,8.4,339.4,"E",0
"5418","NLA06608-0570-2007-1","NLA06608-0570",1,5,2007,7,27,23.5,7.5,8.4,339.4,"E",0
"5419","NLA06608-0570-2007-1","NLA06608-0570",1,6,2007,7,27,23.1,6,8.3,334.4,"E",0
"5420","NLA06608-0570-2007-1","NLA06608-0570",1,7,2007,7,27,22.5,5.2,8.1,325.1,"E",0
"5421","NLA06608-0570-2007-1","NLA06608-0570",1,8,2007,7,27,22.3,5.1,8.1,325.4,"E",0
"5422","NLA06608-0570-2007-1","NLA06608-0570",1,9,2007,7,27,22,4.8,8.1,321.3,"E",0
"5423","NLA06608-0570-2007-1","NLA06608-0570",1,10,2007,7,27,21.6,4.4,8,315.5,"E",0
"5424","NLA06608-0570-2007-1","NLA06608-0570",1,11,2007,7,27,20.6,3.7,7.9,302.6,"E",0
"5425","NLA06608-0570-2007-1","NLA06608-0570",1,12,2007,7,27,19.8,3.3,7.8,292.2,"E",0
"5426","NLA06608-0570-2007-1","NLA06608-0570",1,13,2007,7,27,19.4,2.9,7.8,286.7,"E",0
"5427","NLA06608-0570-2007-1","NLA06608-0570",1,14,2007,7,27,18.6,2.8,7.8,275.8,"E",0
"5428","NLA06608-0570-2007-1","NLA06608-0570",1,15,2007,7,27,17.8,2.6,7.7,265.9,"E",0
"5429","NLA06608-0570-2007-1","NLA06608-0570",1,16,2007,7,27,17,2,7.7,257.1,"E",0
"5430","NLA06608-0570-2007-1","NLA06608-0570",1,17,2007,7,27,16.9,1.7,7.6,255.6,"E",0
"5431","NLA06608-0570-2007-1","NLA06608-0570",1,18,2007,7,27,16.6,1.6,7.6,251.9,"E",0
"5432","NLA06608-0570-2007-1","NLA06608-0570",1,19,2007,7,27,15.8,0.7,7.6,245.7,"E",0
"5433","NLA06608-0570-2007-1","NLA06608-0570",1,19.3,2007,7,27,15.4,0,7.6,272.1,"E",0
