"","sampling_event","site_id","visit_no","depth","year","month","day","temp","DO","PH","cond","layer_nla","resampled"
"10623","NLA06608-1355-2007-1","NLA06608-1355",1,0,2007,7,3,24.6,8.5,8.2,NA,"E",0
"10624","NLA06608-1355-2007-1","NLA06608-1355",1,1,2007,7,3,24.6,8.3,8.2,NA,"E",0
"10625","NLA06608-1355-2007-1","NLA06608-1355",1,2,2007,7,3,24.4,8.3,8.3,NA,"E",0
"10626","NLA06608-1355-2007-1","NLA06608-1355",1,3,2007,7,3,24.2,8.3,8.3,NA,"E",0
"10627","NLA06608-1355-2007-1","NLA06608-1355",1,4,2007,7,3,24.1,8.3,8.2,NA,"E",0
"10628","NLA06608-1355-2007-1","NLA06608-1355",1,5,2007,7,3,23.9,8.2,8.1,NA,"E",0
"10629","NLA06608-1355-2007-1","NLA06608-1355",1,6,2007,7,3,23.3,7.7,8,NA,"E",0
"10630","NLA06608-1355-2007-1","NLA06608-1355",1,7,2007,7,3,22.7,6.7,7.9,NA,"M",0
"10631","NLA06608-1355-2007-1","NLA06608-1355",1,8,2007,7,3,19.4,4.3,7.6,NA,"M",0
"10632","NLA06608-1355-2007-1","NLA06608-1355",1,9,2007,7,3,15.7,3.4,7.6,NA,"M",0
"10633","NLA06608-1355-2007-1","NLA06608-1355",1,10,2007,7,3,13.8,2.3,7.7,NA,"M",0
"10634","NLA06608-1355-2007-1","NLA06608-1355",1,11,2007,7,3,11.8,2.9,7.8,NA,"M",0
"10635","NLA06608-1355-2007-1","NLA06608-1355",1,12,2007,7,3,11.1,3,7.9,NA,"H",0
"10636","NLA06608-1355-2007-1","NLA06608-1355",1,13,2007,7,3,10.5,2.5,7.9,NA,"H",0
"10637","NLA06608-1355-2007-1","NLA06608-1355",1,14,2007,7,3,9.9,2.4,7.9,NA,"H",0
"10638","NLA06608-1355-2007-1","NLA06608-1355",1,15,2007,7,3,9.6,2,7.9,NA,"H",0
"10639","NLA06608-1355-2007-1","NLA06608-1355",1,16,2007,7,3,9.4,1.2,7.8,NA,"H",0
"10640","NLA06608-1355-2007-1","NLA06608-1355",1,17,2007,7,3,9.2,0.3,7.8,NA,"H",0
"10641","NLA06608-1355-2007-1","NLA06608-1355",1,18,2007,7,3,9,0.3,7.8,NA,"H",0
"10642","NLA06608-1355-2007-1","NLA06608-1355",1,19,2007,7,3,8.9,0.3,7.9,NA,"H",0
"10643","NLA06608-1355-2007-1","NLA06608-1355",1,20,2007,7,3,8.8,0.3,7.9,NA,"H",0
"10644","NLA06608-1355-2007-1","NLA06608-1355",1,22,2007,7,3,8.8,0.3,7.9,NA,"H",0
"10645","NLA06608-1355-2007-1","NLA06608-1355",1,24,2007,7,3,8.7,0.3,7.9,NA,"H",0
"10646","NLA06608-1355-2007-1","NLA06608-1355",1,25.5,2007,7,3,8.7,0.3,7.8,NA,"H",0
